town	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月
城镇1	783.06	776.69	836.41	846.64	834.98	835.03	846.17	859.49	944.35	961.22	853.26	947.18	982.77	871.45	1015	990.4	956.12	990.02	904.83	917.91	1047.05	1008.41	1077.45	953.78	951.13	979.86	994.41	1075.33	1135.29	989.66	1031.28	1105.99	1118.17	1219.34	1231.12	1090.36	1108.41	1119.75	1197.55	1125.18	1186.6	1169.65	1107.35	1196.29	1254.08	1273.48	1181.51	1323.83	1216.16	1277.72	1203.93	1292.09	1418.9	1259.71	1317.89	1376.03	1327.6	1314.84	1451.32	1383.88
城镇2	78.68	81.93	86.08	77.98	86.99	89.96	90.61	90.14	92.05	88.22	94.74	93.64	104.46	94	97.65	99.12	111.34	99.75	115.76	105.94	113.75	119.07	111.77	119.54	120.18	120.24	118	131.08	124.93	111.86	114.74	118.76	135.97	132.5	125.16	124	137.7	127.68	138.44	137.28	135.39	130.01	135.7	149.87	150.53	143.57	150.63	152.77	150.99	130.33	150.45	156.04	136.94	134.94	136.54	142.67	152.07	157.71	157.4	143.13
城镇3	157.04	163.76	169.94	181.43	167.83	163.18	175.46	170.19	180.27	172.43	182.83	157.43	181.01	166.97	171.68	178.95	181.89	185.35	156.8	180.5	174.85	166.84	166.47	177.85	161.3	167.31	187.09	167.85	183.89	175.22	176.56	166.31	160.96	176.38	181.64	171.52	169.32	163.07	163.58	164.23	180.28	183.93	162.33	184.38	166.67	160.09	165.25	165.87	179.17	159.83	166.91	183.57	172.98	168.22	164.47	175.47	177.22	157.53	161.09	187.91
城镇4	171.33	188.91	165.74	179.74	166.39	183.86	173.89	166.54	193.59	168.06	196.17	191.17	186.01	194	182.24	172.96	183.38	178.61	171.27	190.69	172.69	192.12	167.01	168.51	187.1	165.43	164.17	174.05	185.81	190.59	169.81	193.55	180.32	184.76	173.68	181.15	194.28	187.88	167.23	189.11	191.87	179.7	191.13	170.01	176.98	181.43	179.36	191.51	181.95	191.38	177.88	174.92	176.6	174.05	170.05	177.59	192.42	183.12	189.4	165.04
城镇5	171.43	156.15	169.29	147.59	165.34	152.1	154.72	172.35	164.84	172.4	161.68	150.61	150.69	154.38	146.54	148.89	166.29	157.08	156.56	144.49	155.45	164.03	166.58	163.78	169.79	155.69	158.02	170.3	160.46	164.7	162.51	161.02	165.38	166.5	150.24	171.68	150.47	160.58	159.88	162.76	165.18	154.3	157.47	172.46	156.28	164.35	150.61	146.3	144.62	172.66	157.14	162.82	166.54	158.01	168.08	153.89	158.18	150.73	153.54	154.52
城镇6	898.83	812.05	828.09	849.83	915.73	824.98	899.48	825.3	895.12	916.59	835.4	810.36	929.15	881.74	808.67	871.83	919.98	805.04	884.1	863.22	820.27	954.6	933.34	930.25	931.17	923.62	870.42	874.83	823.74	817.29	931.27	872.71	943.02	816.18	898.56	820.81	954.11	835.82	931.89	921.15	939.21	930.33	826.87	946.19	828.58	874.74	812.01	810.64	827.44	884.68	922.11	879.18	851.17	838.7	883	811.94	888.12	821.53	825.47	821.02
城镇7	300.78	311.48	325.97	281.71	319.39	308.73	304.28	304.89	289.73	315.15	312.11	332.65	282.55	312.17	321.06	293.7	278.73	284.69	281.17	319.76	330.02	280.22	285.69	288.16	326.11	298.45	309.04	324.25	311.2	281.04	320.24	318.87	312.33	280.22	298.95	299.12	310.77	290.41	313.34	290.2	281.99	315.18	328.17	333.5	315.4	329.99	308.81	316.56	305	287.68	298.98	321.62	291.28	321.09	282.35	292.94	285.06	299.42	323.76	292.63
城镇8	959.41	997.77	949.23	1026.13	1027.25	1092.07	959.94	920.46	960.43	1081.28	1011.03	1010.2	1048.01	1019.41	1039.62	950.46	987.14	962.21	1080.19	1051.33	1088.29	926.2	1018.96	1029.6	1019.45	950.01	1002.16	1089.94	911.46	997.62	1019.38	998.82	1076.6	951.96	969.32	919.92	1013.37	1065.21	1046.61	998.28	996.47	960.81	1013.82	1055.91	1003.83	1091.71	1033.98	988.61	1011.75	954.61	970.15	1062.9	1050.8	1081.13	1073.58	1077.24	1066.24	1088.64	996.46	1081.38
城镇9	952.11	846.6	906.92	990.58	907.19	986.43	984.96	912.84	925.02	997.63	995.26	913	957.26	870.13	842.33	941.43	977.01	984.53	859.28	919.83	960.32	910.96	873.3	956.98	922.55	989.23	890.76	943.5	913.22	974.11	935.43	845.43	898.2	969.12	956.53	918.7	850.7	977.04	976.62	966.84	973.85	856.03	981.11	933.99	903.76	948.57	903.62	855.94	850.71	952.93	1000.04	998.62	910.71	973.99	931.51	1003.41	965.16	997.55	974.22	938.22
城镇10	530.75	497.95	504.01	492.16	576.61	506	586.35	604.26	580.65	575.35	594.51	590.18	664.28	593.72	630.55	631.02	604.86	655.04	625.46	682.58	704.24	637.23	629.52	653.73	642.27	663.22	719.19	738.91	686.19	788.77	686.74	751.29	680.36	729.03	750	686.39	689.88	702.24	739.29	724.27	747.16	743.39	816.27	842.59	760.67	833.55	743.28	722.23	806.47	722.17	809.15	808.06	809.7	795.86	745.71	830.23	727.94	741.07	796.86	752
